user_id,date,renderedContent
2192609278,2023-04-15 13:28:52+00:00,I rated Cocaine Bear (2023) 8/10 #IMDb imdb.com/title/tt142099…
83891920,2023-04-15 13:26:47+00:00,What a waste of time.. I rated The Northman (2022) 5/10 #IMDb imdb.com/title/tt111385…
1370215180915904513,2023-04-15 12:50:31+00:00,I rated The Last Kingdom: Seven Kings Must Die (2023) 10/10 #IMDb imdb.com/title/tt157678…
26531700,2023-04-15 12:47:25+00:00,I rated Prinsen av Egypten (1998) 8/10 #IMDb imdb.com/title/tt0120794
160481813,2023-04-15 12:44:21+00:00,"واو! الحلقة الأولى مدتها 80 دقيقة!

وافعل مثل ما قيل لي: ادخل على عماها ولا تقرأ عنه

I rated 【Oshi No Ko】: Mother and Children (S1.E1) 10/10 #IMDb imdb.com/title/tt270336…"
1211668801063772160,2023-04-15 12:37:10+00:00,I rated Identity (2003) 7/10  #IMDb imdb.com/title/tt0309698
322089163,2023-04-15 12:29:09+00:00,I rated JoJo's Bizarre Adventure: Dâku burû mûn (S2.E6) 5/10 #IMDb  imdb.com/title/tt3865332
322089163,2023-04-15 12:28:56+00:00,I rated JoJo's Bizarre Adventure: Shirubâ chariottsu (S2.E5) 7/10 #IMDb  imdb.com/title/tt3700140
115037602,2023-04-15 12:20:03+00:00,I rated Super Pets (2022) 6/10 #IMDb probably more coherent than a lot of the usual DC stuff. imdb.com/title/tt8912936
531406965,2023-04-15 11:50:10+00:00,I rated Ratched (2020– ) 8/10 #IMDb imdb.com/title/tt7423538
833012252,2023-04-15 11:21:24+00:00,"I rated Body Double 6.5/10 
#IMDb imdb.com/title/tt008698…"
257611566,2023-04-15 10:56:42+00:00,"I rated Motel Hell (1980) 5/10 #IMDb

#isod challenge starting with this from my unseen list. Odd, dark, funny, weird! Strong ending, weak middle  imdb.com/title/tt0081184"
1601808745272692739,2023-04-15 10:46:35+00:00,I rated Vinland Saga: For the Love That Was Lost (S2.E12) 10/10 #IMDb أقسم بالله حلقة عظيمة imdb.com/title/tt264204…
739394004446552064,2023-04-15 10:25:18+00:00,I rated The Big Short (2015) 9/10 #IMDb imdb.com/title/tt1596363
133668979,2023-04-15 09:54:15+00:00,"Some American soldiers gets isekai’d into a world full of monsters. Yeah.

I rated Monster Hunter (2020) 4/10 #IMDb imdb.com/title/tt6475714"
133668979,2023-04-15 09:52:56+00:00,"Not had imo

I rated Barbarian (2022) 5/10 #IMDb imdb.com/title/tt157910…"
133668979,2023-04-15 09:51:50+00:00,"Theres better indo horror out there, imo

I rated Qorin (2022) 3/10 #IMDb imdb.com/title/tt193671…"
