,links
46,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt106481…', 'url': 'https://www.imdb.com/title/tt10648146', 'tcourl': 'https://t.co/0f2FUa2i2V', 'indices': [56, 79]}]"
47,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt205673…', 'url': 'https://www.imdb.com/title/tt20567314', 'tcourl': 'https://t.co/zH3A7C0Hx6', 'indices': [40, 63]}]"
48,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt127243…', 'url': 'https://www.imdb.com/title/tt12724306', 'tcourl': 'https://t.co/IM7WRAwnIq', 'indices': [35, 58]}]"
49,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt5027774', 'url': 'https://www.imdb.com/title/tt5027774', 'tcourl': 'https://t.co/EhArHkwEv9', 'indices': [69, 92]}]"
50,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt101518…', 'url': 'https://www.imdb.com/title/tt10151854', 'tcourl': 'https://t.co/pXrKToOuwp', 'indices': [52, 75]}]"
51,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt127580…', 'url': 'https://www.imdb.com/title/tt12758060', 'tcourl': 'https://t.co/vdzUnqsFiX', 'indices': [33, 56]}]"
52,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt125734…', 'url': 'https://www.imdb.com/title/tt12573454', 'tcourl': 'https://t.co/ikizWpplfh', 'indices': [35, 58]}]"
53,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0325710', 'url': 'https://www.imdb.com/title/tt0325710', 'tcourl': 'https://t.co/ZmSdXtKyUp', 'indices': [43, 66]}]"
54,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt152552…', 'url': 'https://www.imdb.com/title/tt15255288', 'tcourl': 'https://t.co/a40jjdZiHw', 'indices': [43, 66]}]"
55,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0049833', 'url': 'https://www.imdb.com/title/tt0049833', 'tcourl': 'https://t.co/O2Hu54xswp', 'indices': [47, 70]}]"
