,links
3047,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1723121', 'url': 'https://www.imdb.com/title/tt1723121', 'tcourl': 'https://t.co/oC4lAdu4E5', 'indices': [45, 68]}]"
3048,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3531824', 'url': 'https://www.imdb.com/title/tt3531824', 'tcourl': 'https://t.co/lN6kQigMbc', 'indices': [33, 56]}]"
3049,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2953050', 'url': 'https://www.imdb.com/title/tt2953050', 'tcourl': 'https://t.co/ssKfTFCZ7h', 'indices': [34, 57]}]"
3050,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1798709', 'url': 'https://www.imdb.com/title/tt1798709', 'tcourl': 'https://t.co/s8tRvqEKoS', 'indices': [30, 53]}]"
3051,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt4549128', 'url': 'https://www.imdb.com/title/tt4549128', 'tcourl': 'https://t.co/1CgMSbuQUM', 'indices': [100, 123]}]"
3052,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0469623', 'url': 'https://www.imdb.com/title/tt0469623', 'tcourl': 'https://t.co/MJ7oJVtOEK', 'indices': [53, 76]}]"
3053,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt118132…', 'url': 'https://www.imdb.com/title/tt11813216', 'tcourl': 'https://t.co/hMrRp1NSOL', 'indices': [53, 76]}]"
3054,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt152817…', 'url': 'https://www.imdb.com/title/tt15281704', 'tcourl': 'https://t.co/osCWM86qj3', 'indices': [141, 164]}]"
3055,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3155298', 'url': 'https://www.imdb.com/title/tt3155298', 'tcourl': 'https://t.co/GCaWWrjZ3M', 'indices': [257, 280]}]"
3056,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt101615…', 'url': 'https://www.imdb.com/title/tt1016150/', 'tcourl': 'https://t.co/yyDUrcds20', 'indices': [58, 81]}]"
3057,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1160524', 'url': 'https://www.imdb.com/title/tt1160524', 'tcourl': 'https://t.co/UHHCyXggyW', 'indices': [63, 86]}]"
3058,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/SyN4huUPnI', 'indices': [36, 59]}]"
3059,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/HIUW1ZJ8AN', 'indices': [36, 59]}]"
3060,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6710474', 'url': 'https://www.imdb.com/title/tt6710474', 'tcourl': 'https://t.co/Tp7oHW3XaH', 'indices': [159, 182]}]"
3061,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6806448', 'url': 'https://www.imdb.com/title/tt6806448', 'tcourl': 'https://t.co/EbnGaifYP9', 'indices': [63, 86]}]"
3062,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7985704', 'url': 'https://www.imdb.com/title/tt7985704', 'tcourl': 'https://t.co/AXInLOLz4R', 'indices': [60, 83]}]"
3063,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8111088', 'url': 'https://www.imdb.com/title/tt8111088', 'tcourl': 'https://t.co/vk1rO0w467', 'indices': [44, 67]}]"
3064,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1781922', 'url': 'https://www.imdb.com/title/tt1781922', 'tcourl': 'https://t.co/nwa4XnVKqP', 'indices': [255, 278]}]"
3065,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1798684', 'url': 'https://www.imdb.com/title/tt1798684', 'tcourl': 'https://t.co/lsSabHO7gX', 'indices': [35, 58]}]"
3066,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3581920', 'url': 'https://www.imdb.com/title/tt3581920', 'tcourl': 'https://t.co/NC6nu5lbSY', 'indices': [44, 67]}]"
3067,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt101518…', 'url': 'https://www.imdb.com/title/tt10151854', 'tcourl': 'https://t.co/xAnrmIJ7iL', 'indices': [51, 74]}]"
3068,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1016150', 'url': 'https://www.imdb.com/title/tt1016150', 'tcourl': 'https://t.co/3tnGMVMNkO', 'indices': [65, 88]}]"
3069,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt142099…', 'url': 'https://www.imdb.com/title/tt14209916', 'tcourl': 'https://t.co/MiaNNfL9Gm', 'indices': [40, 63]}]"
3070,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6710474', 'url': 'https://www.imdb.com/title/tt6710474', 'tcourl': 'https://t.co/fA3eawO4my', 'indices': [111, 134]}]"
3071,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3155298', 'url': 'https://www.imdb.com/title/tt3155298', 'tcourl': 'https://t.co/EPraI5u0Ga', 'indices': [49, 72]}]"
3072,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt133629…', 'url': 'https://www.imdb.com/title/tt13362962', 'tcourl': 'https://t.co/mFKnumD5jH', 'indices': [63, 86]}]"
3073,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9418812', 'url': 'https://www.imdb.com/title/tt9418812', 'tcourl': 'https://t.co/L7ulpqbQxG', 'indices': [38, 61]}]"
3074,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0074958', 'url': 'https://www.imdb.com/title/tt0074958', 'tcourl': 'https://t.co/HIfEmEpvG2', 'indices': [34, 57]}]"
3075,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt109864…', 'url': 'https://www.imdb.com/title/tt10986410', 'tcourl': 'https://t.co/kSG6C3kanY', 'indices': [38, 61]}]"
3076,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt264204…', 'url': 'https://www.imdb.com/title/tt26420418', 'tcourl': 'https://t.co/1PGDm7juBw', 'indices': [91, 114]}]"
3077,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3316960', 'url': 'https://www.imdb.com/title/tt3316960', 'tcourl': 'https://t.co/fYz88SHEdv', 'indices': [38, 61]}]"
3078,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747178', 'tcourl': 'https://t.co/OpWMwuzUgm', 'indices': [74, 97]}]"
3079,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7142506', 'url': 'https://www.imdb.com/title/tt7142506', 'tcourl': 'https://t.co/ExpLkKYZW0', 'indices': [41, 64]}]"
3080,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1190634', 'url': 'https://www.imdb.com/title/tt1190634', 'tcourl': 'https://t.co/b48PfvmbJt', 'indices': [46, 69]}]"
3081,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt142099…', 'url': 'https://www.imdb.com/title/tt14209916', 'tcourl': 'https://t.co/B4G1X1XOoX', 'indices': [39, 62]}]"
3082,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3915174', 'url': 'https://www.imdb.com/title/tt3915174', 'tcourl': 'https://t.co/WUdyhA7bGx', 'indices': [55, 78]}]"
3083,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3812366', 'url': 'https://www.imdb.com/title/tt3812366', 'tcourl': 'https://t.co/d23oBIS0AL', 'indices': [79, 102]}]"
3084,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2820852', 'url': 'https://www.imdb.com/title/tt2820852', 'tcourl': 'https://t.co/CyFCEQyVE4', 'indices': [47, 70]}]"
3085,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3581920', 'url': 'https://www.imdb.com/title/tt3581920', 'tcourl': 'https://t.co/PN1SgfnuCp', 'indices': [43, 66]}]"
3086,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt874567…', 'url': 'https://www.imdb.com/title/tt8745676/', 'tcourl': 'https://t.co/jHKHIQog2X', 'indices': [41, 64]}]"
3087,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6710474', 'url': 'https://www.imdb.com/title/tt6710474', 'tcourl': 'https://t.co/jbisV3AZT5', 'indices': [128, 151]}]"
3088,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt101518…', 'url': 'https://www.imdb.com/title/tt10151854', 'tcourl': 'https://t.co/6Td4UWcrMo', 'indices': [51, 74]}]"
3089,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt176639…', 'url': 'https://www.imdb.com/title/tt17663992', 'tcourl': 'https://t.co/vKTsDiInSl', 'indices': [36, 59]}]"
3090,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt143763…', 'url': 'https://www.imdb.com/title/tt14376344', 'tcourl': 'https://t.co/a468Pa84Yo', 'indices': [46, 69]}]"
3091,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0463985', 'url': 'https://www.imdb.com/title/tt0463985', 'tcourl': 'https://t.co/dNtj4jT3oI', 'indices': [64, 87]}]"
3092,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0378194', 'url': 'https://www.imdb.com/title/tt0378194', 'tcourl': 'https://t.co/eLgRG25t83', 'indices': [102, 125]}]"
3093,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6145242', 'url': 'https://www.imdb.com/title/tt6145242', 'tcourl': 'https://t.co/zAwyp0QxYg', 'indices': [160, 183]}]"
3094,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8672856', 'url': 'https://www.imdb.com/title/tt8672856', 'tcourl': 'https://t.co/vcAW0JAVk5', 'indices': [64, 87]}]"
3095,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747176', 'tcourl': 'https://t.co/U5INBXbLUG', 'indices': [65, 88]}]"
3096,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3581920', 'url': 'https://www.imdb.com/title/tt3581920', 'tcourl': 'https://t.co/StpsioDaBj', 'indices': [43, 66]}]"
3097,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0139134', 'url': 'https://www.imdb.com/title/tt0139134', 'tcourl': 'https://t.co/siIbzpLvaJ', 'indices': [43, 66]}]"
3098,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1905041', 'url': 'https://www.imdb.com/title/tt1905041', 'tcourl': 'https://t.co/HG8mOFCcra', 'indices': [47, 70]}]"
3099,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1596343', 'url': 'https://www.imdb.com/title/tt1596343', 'tcourl': 'https://t.co/NsiXfGhLhg', 'indices': [47, 70]}]"
3100,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1013752', 'url': 'https://www.imdb.com/title/tt1013752', 'tcourl': 'https://t.co/pbCXlPIrVk', 'indices': [45, 68]}]"
3101,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt170419…', 'url': 'https://www.imdb.com/title/tt17041964', 'tcourl': 'https://t.co/BMb3jHbyhc', 'indices': [34, 57]}]"
3102,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0114558', 'url': 'https://www.imdb.com/title/tt0114558', 'tcourl': 'https://t.co/8QunkF54rA', 'indices': [41, 64]}]"
3103,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt106403…', 'url': 'https://www.imdb.com/title/tt10640346', 'tcourl': 'https://t.co/ceL8DJlsMS', 'indices': [34, 57]}]"
3104,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0105197', 'url': 'https://www.imdb.com/title/tt0105197', 'tcourl': 'https://t.co/URL5SlcOcZ', 'indices': [44, 67]}]"
3105,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt129762…', 'url': 'https://www.imdb.com/title/tt12976224', 'tcourl': 'https://t.co/lD93sFDuXy', 'indices': [102, 125]}]"
3106,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747178', 'tcourl': 'https://t.co/dPw7vDQSdB', 'indices': [62, 85]}]"
3107,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt112912…', 'url': 'https://www.imdb.com/title/tt11291274', 'tcourl': 'https://t.co/LwKOWi4gLl', 'indices': [67, 90]}]"
3108,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2017109', 'url': 'https://www.imdb.com/title/tt2017109', 'tcourl': 'https://t.co/FPLQRcC01e', 'indices': [40, 63]}]"
3109,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt264469…', 'url': 'https://www.imdb.com/title/tt26446979', 'tcourl': 'https://t.co/2xWRRk0FFG', 'indices': [33, 56]}]"
3110,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt266906…', 'url': 'https://www.imdb.com/title/tt26690688', 'tcourl': 'https://t.co/pCupscJXf7', 'indices': [61, 84]}]"
3111,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0486655', 'url': 'https://www.imdb.com/title/tt0486655', 'tcourl': 'https://t.co/K9OW7iZXMP', 'indices': [35, 58]}]"
3112,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9764362', 'url': 'https://www.imdb.com/title/tt9764362', 'tcourl': 'https://t.co/90Ui7gfqFK', 'indices': [38, 61]}]"
3113,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0477348', 'url': 'https://www.imdb.com/title/tt0477348', 'tcourl': 'https://t.co/x0cLsVTVu8', 'indices': [49, 72]}]"
3114,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt176639…', 'url': 'https://www.imdb.com/title/tt17663992', 'tcourl': 'https://t.co/WurslesLrM', 'indices': [36, 59]}]"
3115,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103659…', 'url': 'https://www.imdb.com/title/tt10365998', 'tcourl': 'https://t.co/rw3QRGSkhG', 'indices': [41, 64]}]"
3116,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1039931', 'url': 'https://www.imdb.com/title/tt1039931', 'tcourl': 'https://t.co/6RMdFGICPP', 'indices': [59, 82]}]"
3117,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0306685', 'url': 'https://www.imdb.com/title/tt0306685', 'tcourl': 'https://t.co/JnucztmZAm', 'indices': [45, 68]}]"
3118,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747178', 'tcourl': 'https://t.co/e8Fm2K61nm', 'indices': [147, 170]}]"
3119,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/gNZeIsXABn', 'indices': [36, 59]}]"
3120,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt136690…', 'url': 'https://www.imdb.com/title/tt13669038', 'tcourl': 'https://t.co/xXf8nuNfcd', 'indices': [41, 64]}]"
3121,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0859163', 'url': 'https://www.imdb.com/title/tt0859163', 'tcourl': 'https://t.co/AEOBZrgba2', 'indices': [65, 88]}]"
3122,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0099077', 'url': 'https://www.imdb.com/title/tt0099077', 'tcourl': 'https://t.co/cNB3VaFgwI', 'indices': [38, 61]}]"
3123,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1155592', 'url': 'https://www.imdb.com/title/tt1155592', 'tcourl': 'https://t.co/v34TRwqkHH', 'indices': [38, 61]}]"
3124,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt268315…', 'url': 'https://www.imdb.com/title/tt26831504', 'tcourl': 'https://t.co/QFK8PKJ7TH', 'indices': [98, 121]}]"
3125,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/MwayhUE4yl', 'indices': [36, 59]}]"
3126,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/Qx5NdDyoFd', 'indices': [37, 60]}]"
3127,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt110835…', 'url': 'https://www.imdb.com/title/tt11083552', 'tcourl': 'https://t.co/5Diijc89H2', 'indices': [167, 190]}]"
3128,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0162222', 'url': 'https://www.imdb.com/title/tt0162222', 'tcourl': 'https://t.co/AG3jEWLA0h', 'indices': [220, 243]}]"
3129,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0120586', 'url': 'https://www.imdb.com/title/tt0120586', 'tcourl': 'https://t.co/tzMOnOdhQ4', 'indices': [118, 141]}]"
3130,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3263904', 'url': 'https://www.imdb.com/title/tt3263904', 'tcourl': 'https://t.co/w0tCG1tU9U', 'indices': [32, 55]}]"
3131,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt146594…', 'url': 'https://www.imdb.com/title/tt14659486', 'tcourl': 'https://t.co/Y2OyQndgbB', 'indices': [88, 111]}]"
3132,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1856101', 'url': 'https://www.imdb.com/title/tt1856101', 'tcourl': 'https://t.co/dTh55N9Djg', 'indices': [44, 67]}]"
3133,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3581920', 'url': 'https://www.imdb.com/title/tt3581920', 'tcourl': 'https://t.co/chlhwJIQSK', 'indices': [44, 67]}]"
3134,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747178', 'tcourl': 'https://t.co/xRttf23Lfv', 'indices': [83, 106]}]"
3135,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0065214', 'url': 'https://www.imdb.com/title/tt0065214', 'tcourl': 'https://t.co/g2Ae8RR2K1', 'indices': [98, 121]}]"
3136,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt121569…', 'url': 'https://www.imdb.com/title/tt12156974', 'tcourl': 'https://t.co/RDEwU3NBqf', 'indices': [135, 158]}]"
3137,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1606389', 'url': 'https://www.imdb.com/title/tt1606389', 'tcourl': 'https://t.co/GlCo5kLQZU', 'indices': [35, 58]}]"
3138,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/xXs1Sk8mtf', 'indices': [241, 264]}]"
3139,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3581920', 'url': 'https://www.imdb.com/title/tt3581920', 'tcourl': 'https://t.co/KlEmBZIUhu', 'indices': [56, 79]}]"
3140,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt111451…', 'url': 'https://www.imdb.com/title/tt11145118', 'tcourl': 'https://t.co/gOCNUnxol0', 'indices': [257, 280]}]"
3141,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt112522…', 'url': 'https://www.imdb.com/title/tt11252248', 'tcourl': 'https://t.co/20ca7jS88f', 'indices': [40, 63]}]"
3142,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0079817', 'url': 'https://www.imdb.com/title/tt0079817', 'tcourl': 'https://t.co/YoKuxdv3jR', 'indices': [35, 58]}]"
3143,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3581920', 'url': 'https://www.imdb.com/title/tt3581920', 'tcourl': 'https://t.co/vVB0C8jWFI', 'indices': [43, 66]}]"
3144,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7798604', 'url': 'https://www.imdb.com/title/tt7798604', 'tcourl': 'https://t.co/LcpAIbBQSI', 'indices': [42, 65]}]"
3145,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0110912', 'url': 'https://www.imdb.com/title/tt0110912', 'tcourl': 'https://t.co/8OTsep4nhA', 'indices': [64, 87]}]"
3146,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3581920', 'url': 'https://www.imdb.com/title/tt3581920', 'tcourl': 'https://t.co/8HklKPjYdc', 'indices': [44, 67]}]"
3147,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt119301…', 'url': 'https://www.imdb.com/title/tt11930126', 'tcourl': 'https://t.co/1049iWVZAz', 'indices': [79, 102]}]"
3148,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt142099…', 'url': 'https://www.imdb.com/title/tt14209916', 'tcourl': 'https://t.co/Gvj1DKNCYI', 'indices': [40, 63]}]"
3149,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9660502', 'url': 'https://www.imdb.com/title/tt9660502', 'tcourl': 'https://t.co/39YthLSpLM', 'indices': [32, 55]}]"
3150,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8514848', 'url': 'https://www.imdb.com/title/tt8514848', 'tcourl': 'https://t.co/EA4i6DM4NR', 'indices': [246, 269]}]"
3151,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt144584…', 'url': 'https://www.imdb.com/title/tt14458442', 'tcourl': 'https://t.co/ZZycM3z6OL', 'indices': [87, 110]}]"
3152,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt176639…', 'url': 'https://www.imdb.com/title/tt17663992', 'tcourl': 'https://t.co/xtSuljFxNP', 'indices': [45, 68]}]"
3153,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6000478', 'url': 'https://www.imdb.com/title/tt6000478', 'tcourl': 'https://t.co/AaqMRJr0gm', 'indices': [63, 86]}]"
3154,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt4301160', 'url': 'https://www.imdb.com/title/tt4301160', 'tcourl': 'https://t.co/sz0qu0PuUe', 'indices': [43, 66]}]"
3155,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3581920', 'url': 'https://www.imdb.com/title/tt3581920', 'tcourl': 'https://t.co/JHSVpp6TFo', 'indices': [44, 67]}]"
3156,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt253669…', 'url': 'https://www.imdb.com/title/tt25366998', 'tcourl': 'https://t.co/W7R8wnxwU2', 'indices': [40, 63]}]"
3157,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt133294…', 'url': 'https://www.imdb.com/title/tt13329488', 'tcourl': 'https://t.co/R4U33ax7Xg', 'indices': [90, 113]}]"
3158,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7405458', 'url': 'https://www.imdb.com/title/tt7405458', 'tcourl': 'https://t.co/LdAGrrtsK8', 'indices': [44, 67]}]"
3159,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0322259', 'url': 'https://www.imdb.com/title/tt0322259', 'tcourl': 'https://t.co/XyvJd0hECh', 'indices': [43, 66]}]"
3160,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0232500', 'url': 'https://www.imdb.com/title/tt0232500', 'tcourl': 'https://t.co/jNHSBPhPx3', 'indices': [51, 74]}]"
3161,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9764362', 'url': 'https://www.imdb.com/title/tt9764362', 'tcourl': 'https://t.co/O05iCuEYUc', 'indices': [49, 72]}]"
3162,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8129806', 'url': 'https://www.imdb.com/title/tt8129806', 'tcourl': 'https://t.co/DzKjRdCqpf', 'indices': [36, 59]}]"
3163,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2866360', 'url': 'https://www.imdb.com/title/tt2866360', 'tcourl': 'https://t.co/uBLZ8crYFP', 'indices': [37, 60]}]"
3164,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt111451…', 'url': 'https://www.imdb.com/title/tt11145118', 'tcourl': 'https://t.co/b1ujlQu7YD', 'indices': [36, 59]}]"
3165,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/PpYb3CTldE', 'indices': [36, 59]}]"
3166,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt148511…', 'url': 'https://www.imdb.com/title/tt14851194', 'tcourl': 'https://t.co/MJCtDVQ3ua', 'indices': [56, 79]}]"
3167,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0245429', 'url': 'https://www.imdb.com/title/tt0245429', 'tcourl': 'https://t.co/NvLzvGSNnh', 'indices': [41, 64]}]"
3168,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8110652', 'url': 'https://www.imdb.com/title/tt8110652', 'tcourl': 'https://t.co/H0sXtphCNp', 'indices': [153, 176]}]"
3169,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0077248', 'url': 'https://www.imdb.com/title/tt0077248', 'tcourl': 'https://t.co/0WODIx9BwQ', 'indices': [38, 61]}]"
